,Id,PetalLengthCm,PetalWidthCm,SepalWidthCm,Species
44,45,1.9,0.4,3.8,Iris-setosa
45,46,1.4,0.3,3.0,Iris-setosa
46,47,1.6,0.2,3.8,Iris-setosa
47,48,1.4,0.2,3.2,Iris-setosa
48,49,1.5,0.2,3.7,Iris-setosa
49,50,1.4,0.2,3.3,Iris-setosa
50,51,4.7,1.4,3.2,Iris-versicolor
51,52,4.5,1.5,3.2,Iris-versicolor
52,53,4.9,1.5,3.1,Iris-versicolor
53,54,4.0,1.3,2.3,Iris-versicolor
54,55,4.6,1.5,2.8,Iris-versicolor
55,56,4.5,1.3,2.8,Iris-versicolor
56,57,4.7,1.6,3.3,Iris-versicolor
57,58,3.3,1.0,2.4,Iris-versicolor
58,59,4.6,1.3,2.9,Iris-versicolor
59,60,3.9,1.4,2.7,Iris-versicolor
60,61,3.5,1.0,2.0,Iris-versicolor
61,62,4.2,1.5,3.0,Iris-versicolor
62,63,4.0,1.0,2.2,Iris-versicolor
63,64,4.7,1.4,2.9,Iris-versicolor
64,65,3.6,1.3,2.9,Iris-versicolor
65,66,4.4,1.4,3.1,Iris-versicolor
66,67,4.5,1.5,3.0,Iris-versicolor
67,68,4.1,1.0,2.7,Iris-versicolor
68,69,4.5,1.5,2.2,Iris-versicolor
69,70,3.9,1.1,2.5,Iris-versicolor
70,71,4.8,1.8,3.2,Iris-versicolor
71,72,4.0,1.3,2.8,Iris-versicolor
72,73,4.9,1.5,2.5,Iris-versicolor
73,74,4.7,1.2,2.8,Iris-versicolor
74,75,4.3,1.3,2.9,Iris-versicolor
75,76,4.4,1.4,3.0,Iris-versicolor
76,77,4.8,1.4,2.8,Iris-versicolor
77,78,5.0,1.7,3.0,Iris-versicolor
78,79,4.5,1.5,2.9,Iris-versicolor
79,80,3.5,1.0,2.6,Iris-versicolor
80,81,3.8,1.1,2.4,Iris-versicolor
81,82,3.7,1.0,2.4,Iris-versicolor
82,83,3.9,1.2,2.7,Iris-versicolor
83,84,5.1,1.6,2.7,Iris-versicolor
84,85,4.5,1.5,3.0,Iris-versicolor
85,86,4.5,1.6,3.4,Iris-versicolor
86,87,4.7,1.5,3.1,Iris-versicolor
87,88,4.4,1.3,2.3,Iris-versicolor
88,89,4.1,1.3,3.0,Iris-versicolor
89,90,4.0,1.3,2.5,Iris-versicolor
90,91,4.4,1.2,2.6,Iris-versicolor
91,92,4.6,1.4,3.0,Iris-versicolor
92,93,4.0,1.2,2.6,Iris-versicolor
93,94,3.3,1.0,2.3,Iris-versicolor
94,95,4.2,1.3,2.7,Iris-versicolor
95,96,4.2,1.2,3.0,Iris-versicolor
96,97,4.2,1.3,2.9,Iris-versicolor
97,98,4.3,1.3,2.9,Iris-versicolor
98,99,3.0,1.1,2.5,Iris-versicolor
99,100,4.1,1.3,2.8,Iris-versicolor
100,101,6.0,2.5,3.3,Iris-virginica
101,102,5.1,1.9,2.7,Iris-virginica
102,103,5.9,2.1,3.0,Iris-virginica
103,104,5.6,1.8,2.9,Iris-virginica
104,105,5.8,2.2,3.0,Iris-virginica
105,106,6.6,2.1,3.0,Iris-virginica
106,107,4.5,1.7,2.5,Iris-virginica
107,108,6.3,1.8,2.9,Iris-virginica
108,109,5.8,1.8,2.5,Iris-virginica
109,110,6.1,2.5,3.6,Iris-virginica
110,111,5.1,2.0,3.2,Iris-virginica
111,112,5.3,1.9,2.7,Iris-virginica
112,113,5.5,2.1,3.0,Iris-virginica
113,114,5.0,2.0,2.5,Iris-virginica
114,115,5.1,2.4,2.8,Iris-virginica
115,116,5.3,2.3,3.2,Iris-virginica
116,117,5.5,1.8,3.0,Iris-virginica
117,118,6.7,2.2,3.8,Iris-virginica
118,119,6.9,2.3,2.6,Iris-virginica
119,120,5.0,1.5,2.2,Iris-virginica
120,121,5.7,2.3,3.2,Iris-virginica
121,122,4.9,2.0,2.8,Iris-virginica
122,123,6.7,2.0,2.8,Iris-virginica
123,124,4.9,1.8,2.7,Iris-virginica
124,125,5.7,2.1,3.3,Iris-virginica
125,126,6.0,1.8,3.2,Iris-virginica
126,127,4.8,1.8,2.8,Iris-virginica
127,128,4.9,1.8,3.0,Iris-virginica
128,129,5.6,2.1,2.8,Iris-virginica
129,130,5.8,1.6,3.0,Iris-virginica
130,131,6.1,1.9,2.8,Iris-virginica
131,132,6.4,2.0,3.8,Iris-virginica
132,133,5.6,2.2,2.8,Iris-virginica
133,134,5.1,1.5,2.8,Iris-virginica
134,135,5.6,1.4,2.6,Iris-virginica
135,136,6.1,2.3,3.0,Iris-virginica
136,137,5.6,2.4,3.4,Iris-virginica
137,138,5.5,1.8,3.1,Iris-virginica
138,139,4.8,1.8,3.0,Iris-virginica
139,140,5.4,2.1,3.1,Iris-virginica
140,141,5.6,2.4,3.1,Iris-virginica
141,142,5.1,2.3,3.1,Iris-virginica
142,143,5.1,1.9,2.7,Iris-virginica
143,144,5.9,2.3,3.2,Iris-virginica
144,145,5.7,2.5,3.3,Iris-virginica
145,146,5.2,2.3,3.0,Iris-virginica
146,147,5.0,1.9,2.5,Iris-virginica
147,148,5.2,2.0,3.0,Iris-virginica
148,149,5.4,2.3,3.4,Iris-virginica
149,150,5.1,1.8,3.0,Iris-virginica
